Tempo: 369890 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 372910 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 373910 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 377910 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 378910 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 381930 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 382930 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 386930 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 387930 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 390950 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 391950 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 395950 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 396950 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 399970 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 400970 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 404970 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 405970 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 408990 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 409990 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 413990 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 414990 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 418010 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 419010 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 423010 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 424010 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 427030 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 428030 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 432030 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 433030 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 436050 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 437050 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 441050 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 442050 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 445070 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 446070 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 450070 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 451070 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 454090 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 455090 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 459090 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 460090 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 463110 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 464110 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 468110 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 469110 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 472130 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 473130 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 477130 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 478130 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 481150 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 482150 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 486150 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 487150 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 490170 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 491170 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 495170 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 496170 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 499190 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 500190 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 504190 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 505190 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 508210 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 509210 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 513210 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 514210 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 517230 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 518230 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 522230 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 523230 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 526250 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 527250 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 531250 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 532250 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 535270 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 536270 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 540270 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 541270 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 544290 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 545290 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 549290 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 550290 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 553310 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 554310 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 558310 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 559310 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 562330 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 563330 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 567330 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 568330 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 571350 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 572350 ns, Transição para -> Carros: 100, Pedestres: 001
Tempo: 576350 ns, Transição para -> Carros: 010, Pedestres: 001
Tempo: 577350 ns, Transição para -> Carros: 001, Pedestres: 100
Tempo: 580370 ns, Transição para -> Carros: 001, Pedestres: 110
Tempo: 581370 ns, Transição para -> Carros: 100, Pedestres: 001
